pub_year,country,n_hits,n_metaphor,share_metaphor,lo95,hi95
2017,Spain,317,35,0.11041009463722397,0.08046615468053145,0.14968321283609382
2017,Switzerland,146,25,0.17123287671232876,0.11875807430501018,0.2405647676136795
2017,UNKNOWN,25209,2787,0.11055575389741759,0.10674395561596857,0.11448622456545997
2017,United Kingdom,1923,181,0.09412376495059803,0.08186991051433481,0.10799597447892462
2017,United States,4157,498,0.1197979312003849,0.11027597475950765,0.13002192380644226
2018,Australia,535,55,0.102803738317757,0.07983670244899024,0.1314340840822596
2018,Canada,551,56,0.10163339382940109,0.07909815615804477,0.1296848339719883
2018,China,3516,966,0.27474402730375425,0.26024106620892057,0.2897386648296723
2018,France,484,59,0.12190082644628099,0.095693406581871,0.15406285463305966
2018,Germany,750,77,0.10266666666666667,0.08292997010669809,0.1264528609565079
2018,India,2520,619,0.24563492063492062,0.22922366786495407,0.26282049540073876
2018,Italy,499,52,0.10420841683366733,0.08035675196455663,0.13410738365706246
2018,Japan,363,53,0.14600550964187328,0.11338837843824967,0.1860364989292312
2018,Netherlands,297,19,0.06397306397306397,0.0413340504030936,0.09774737469274813
2018,South Korea,531,123,0.23163841807909605,0.197760066671399,0.26937174351322163
2018,Spain,375,40,0.10666666666666667,0.07931598691489888,0.1419941597667407
2018,Switzerland,144,18,0.125,0.08055066143257408,0.18893706642470345
2018,UNKNOWN,28353,3406,0.12012838147638698,0.11639548782722761,0.12396419640342052
2018,United Kingdom,2135,203,0.09508196721311475,0.0833567801063375,0.10826165759061591
2018,United States,4614,658,0.14260944950151713,0.1328169963647836,0.1529965099217132
2019,Australia,633,65,0.10268562401263823,0.08138531288363073,0.12877917463032973
2019,Canada,630,74,0.11746031746031746,0.09460658375866039,0.14495089028730318
2019,China,4574,1306,0.2855268911237429,0.27262181855630235,0.2987919104579317
2019,France,530,70,0.1320754716981132,0.10588060889521281,0.16356541565757002
2019,Germany,860,123,0.14302325581395348,0.1212104590411753,0.16801096726287665
2019,India,2851,681,0.2388635566467906,0.2235700376957367,0.25485984309522997
