pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2016,fight,abstract,744227,988,0.001327551943157128,0.0012473618749657318,0.0014128899562266754,0.0016125185970222178,0.0016112281095445665,0.0016138101164245298,250
2017,fight,abstract,767947,967,0.0012592014813522286,0.0011823420545408103,0.0013410505302495345,0.0016906346018950797,0.0016893532155559017,0.0016919169585276155,250
2018,fight,abstract,826130,1052,0.0012734073329863339,0.0011987907902025663,0.0013526619563627872,0.001772528099069295,0.0017712351069819542,0.001773822033356654,250
2019,fight,abstract,885697,1154,0.0013029286539301816,0.001229935940432583,0.0013802472620727969,0.0018583810919554295,0.0018570494967271773,0.0018597136402235316,250
2020,fight,abstract,1023857,2134,0.0020842754408086288,0.0019977849112776894,0.0021745022647159497,0.0019483842869533895,0.0019469814865571995,0.001949788096092904,250
2021,fight,abstract,1172890,2713,0.002313089889077407,0.002227766135010965,0.002401673688858493,0.0020427375030464415,0.0020412267698860695,0.002044249352025767,250
2022,fight,abstract,1221578,2783,0.002278200818940747,0.0021952065736701655,0.002364325395280154,0.002141650100018834,0.002139992364597402,0.0021433091168392756,250
2023,fight,abstract,1176462,2366,0.0020111146811371723,0.0019317701531941373,0.0020937113286551264,0.0022453414260780583,0.00224349677940527,0.0022471875860392244,250
2024,fight,abstract,1227755,1940,0.001580119812177511,0.0015114044038761505,0.0016519541708468147,0.0023540412856890218,0.002351969871243983,0.002356114520150765,250
2025,fight,abstract,1127750,1425,0.0012635779206384393,0.0011996904623575366,0.0013308630626289717,0.0024679904284532913,0.0024656527308150353,0.0024703303369855937,250
2010,frontline,any,387434,263,0.0006788252966956952,0.0006016145565766506,0.0007659376082446292,0.0008261768927170151,0.0008245212631665762,0.0008278358439988267,250
2011,frontline,any,509457,328,0.0006438227367569785,0.0005778339217587827,0.000717342086138634,0.0008854397139585757,0.0008837886330381892,0.0008870938766653601,250
